ind,pop,quadrat,plant,lon,lat,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9
QLL1-1-15,QLL1,1,15,42.3142,-75.0789,198:204,96:96,234:234,196:206,229:229,199:201,144:146,132:132,190:196
QLL1-1-16,QLL1,1,16,45.6517,-76.3383,198:198,106:106,228:240,206:208,227:229,201:201,144:144,132:132,200:200
QLL1-1-1A,QLL1,1,1A,45.6517,-76.3383,198:198,96:106,245:245,196:196,229:239,199:199,140:144,128:135,196:196
QLL1-1-1B,QLL1,1,1B,44.6291,-76.0765,198:202,106:106,228:251,196:206,237:241,201:201,142:146,128:132,200:200
QLL1-1-1C,QLL1,1,1C,44.6291,-76.0765,198:198,96:112,234:249,204:206,227:231,201:201,144:146,132:135,190:196
QLL1-1-1D,QLL1,1,1D,45.2015,-76.256,198:198,96:112,228:253,206:208,241:247,201:201,144:144,132:135,190:202
QLL1-1-29,QLL1,1,29,45.2015,-76.256,198:198,101:128,236:249,206:206,217:225,199:199,140:142,132:132,178:196
QLL1-1-30,QLL1,1,30,45.3981,-76.1652,198:198,96:101,228:245,204:208,217:233,201:201,144:146,132:132,192:196
QLL1-1-7,QLL1,1,7,45.3981,-76.1652,198:198,96:128,213:222,208:208,229:233,199:199,142:144,132:132,190:204
QLL1-1-8,QLL1,1,8,45.2329,-76.4757,198:216,106:106,238:238,208:208,245:245,199:199,146:150,124:132,200:200
QLL1-1-9,QLL1,1,9,45.2329,-76.4757,198:198,106:112,234:238,208:208,229:237,199:199,140:144,132:132,190:194
QLL1-1-N10,QLL1,1,N10,44.997,-78.8378,198:198,106:106,238:251,208:210,227:229,199:199,144:144,132:135,194:194
QLL1-1-N11,QLL1,1,N11,44.997,-78.8378,198:198,96:106,211:228,208:208,227:227,201:201,144:144,132:138,192:200
QLL1-1-N12,QLL1,1,N12,44.7624,-76.0487,198:198,96:128,209:228,196:210,227:247,199:201,144:144,132:132,190:200
QLL1-1-N13,QLL1,1,N13,44.7624,-76.0487,198:198,96:96,228:253,208:212,227:233,199:199,144:144,132:132,200:200
QLL1-2-2A,QLL1,2,2A,43.8196,-77.8806,198:198,96:106,238:241,206:208,221:231,197:201,140:144,122:132,190:200
QLL1-2-2B,QLL1,2,2B,43.8196,-77.8806,198:198,96:96,209:213,198:204,243:243,199:199,144:144,122:122,196:196
QLL1-2-2C,QLL1,2,2C,43.9814,-76.5297,198:198,106:106,238:241,196:210,227:239,197:199,140:144,132:138,200:200
QLL1-2-2D,QLL1,2,2D,43.9814,-76.5297,198:198,117:128,228:236,208:210,231:239,199:199,144:146,132:132,198:198
QLL1-2-2E,QLL1,2,2E,43.6099,-75.5928,198:200,106:106,230:232,206:208,229:237,199:199,144:144,132:132,184:198
QLL1-2-2F,QLL1,2,2F,43.6099,-75.5928,198:198,96:96,241:241,206:206,229:231,201:201,144:146,124:132,198:200
QLL1-2-2G,QLL1,2,2G,43.2496,-76.3579,198:200,106:112,209:240,198:206,225:229,199:199,144:146,124:132,198:200
QLL1-2-2H,QLL1,2,2H,43.2496,-76.3579,198:200,106:128,209:243,196:202,229:239,201:201,144:146,128:132,188:188
QLL1-2-2I,QLL1,2,2I,46.2091,-77.2895,186:190,96:106,234:253,196:206,233:245,201:201,146:146,122:132,192:200
QLL1-2-2J,QLL1,2,2J,46.2091,-77.2895,198:198,106:112,213:253,194:196,217:253,199:201,144:144,122:122,194:196
QLL1-2-2K,QLL1,2,2K,44.618,-77.76,200:200,106:106,228:251,208:210,225:225,199:201,144:144,132:132,190:192
QLL1-2-2L,QLL1,2,2L,44.618,-77.76,198:198,96:96,228:228,196:196,233:233,201:201,146:146,132:132,184:184
QLL1-2-2M,QLL1,2,2M,44.0932,-75.7885,198:198,112:128,209:247,206:206,237:239,199:201,144:144,132:132,190:190
QLL1-2-2N,QLL1,2,2N,44.0932,-75.7885,198:198,96:106,234:240,198:206,237:243,199:201,140:144,122:132,190:200
QLL1-2-2P,QLL1,2,2P,45.8549,-75.3365,198:198,96:96,228:240,198:208,239:243,201:201,144:144,132:135,194:200
QLL1-2-2Q,QLL1,2,2Q,45.8549,-75.3365,198:198,96:96,240:245,196:206,235:243,199:201,144:144,124:132,194:200
QLL1-2-N22,QLL1,2,N22,44.5154,-77.3158,198:198,106:106,209:209,208:208,229:235,199:199,144:144,132:132,192:192
QLL1-2-N23,QLL1,2,N23,44.5154,-77.3158,198:198,106:112,232:234,206:208,229:233,201:201,144:146,135:135,196:196
QLL1-2-N24,QLL1,2,N24,45.8311,-75.8176,198:198,106:112,213:253,194:196,217:217,199:201,144:144,122:122,194:194
QLL1-2-N25,QLL1,2,N25,45.8311,-75.8176,198:212,106:112,234:255,NA,225:227,199:201,146:146,122:132,200:200
QLL3-1-1,QLL3,1,1,45.534,-76.8588,186:198,106:106,209:234,196:210,229:229,201:201,144:146,132:132,184:192
QLL3-1-10,QLL3,1,10,45.534,-76.8588,198:198,112:112,215:251,204:204,215:233,199:199,140:140,132:135,NA
QLL3-1-11,QLL3,1,11,45.6118,-77.4947,198:200,96:106,215:215,206:208,247:247,201:201,144:144,132:135,198:198
QLL3-1-14,QLL3,1,14,45.6118,-77.4947,198:200,96:106,209:215,208:208,229:253,199:199,144:146,132:135,192:192
QLL3-1-16,QLL3,1,16,44.7029,-75.9866,198:198,96:96,232:251,208:208,213:231,199:201,144:144,122:135,196:196
QLL3-1-17,QLL3,1,17,44.7029,-75.9866,200:200,96:96,232:232,208:210,231:235,201:201,140:140,122:132,192:192
QLL3-1-2,QLL3,1,2,44.5361,-77.2199,186:198,96:106,234:236,198:198,235:243,201:201,144:144,132:132,184:196
